sg_uf;nm_municipio;nm_candidato;ds_cargo;nr_candidato;sg_partido;nr_turno;ds_sit_totalizacao;qt_votos_validos;qt_votos_nominais;dt_carga
AC;BUJARI;JACINEIDE DE ARAUJO DINIZ;Deputado Estadual;36100;AGIR;1;Não Eleito;7241;0;2022-11-14 18:47:07
AC;BUJARI;JAILSON DE ALMEIDA SOUZA;Deputado Estadual;23333;CIDADANIA;1;Suplente;7241;0;2022-11-14 18:47:07
AC;BUJARI;JAIR MESSIAS BOLSONARO;Presidente;22;PL;1;Segundo turno;7263;4505;2022-11-14 18:47:07
AC;BUJARI;JAMYL ASFURY MARTINS OLIVEIRA;Deputado Estadual;10000;REPUBLICANOS;1;Suplente;7241;36;2022-11-14 18:47:07
AC;BUJARI;JANAINA AZEVEDO DE SOUZA DANTAS;Deputado Estadual;44234;UNIÃO;1;Suplente;7241;1;2022-11-14 18:47:07
AC;BUJARI;JANILSON LOPES LEITE;Senador;400;PSB;1;Não Eleito;6765;1444;2022-11-14 18:47:07
AC;BUJARI;JAQUELINE DA COSTA MEDEIROS;Deputado Estadual;36333;AGIR;1;Não Eleito;7241;4;2022-11-14 18:47:07
AC;BUJARI;JARIS DE SOUZA CARVALHO;Deputado Estadual;10567;REPUBLICANOS;1;Suplente;7241;126;2022-11-14 18:47:07
AC;BUJARI;JEAN GONÇALVES DE HOLANDA;Deputado Estadual;11257;PP;1;Suplente;7241;2;2022-11-14 18:47:07
AC;BUJARI;JECE LUIZ DA SILVA FERREIRA;Deputado Federal;2020;PSC;1;Não Eleito;7210;2;2022-11-14 18:47:07
AC;BUJARI;JECSON CAVALCANTE DUTRA;Deputado Estadual;90852;PROS;1;Não Eleito;7241;6;2022-11-14 18:47:07
AC;BUJARI;JEFFERSON MONTEIRO SOARES;Deputado Federal;1568;MDB;1;Não Eleito;7210;1;2022-11-14 18:47:07
AC;BUJARI;JEFRSON DA SILVA MENDONÇA;Deputado Estadual;55123;PSD;1;Suplente;7241;33;2022-11-14 18:47:07
AC;BUJARI;JENNIFER OLIVEIRA RODRIGUES;Deputado Estadual;11333;PP;1;Suplente;7241;2;2022-11-14 18:47:07
AC;BUJARI;JESSICA ROJAS SALES;Deputado Federal;1515;MDB;1;Não Eleito;7210;27;2022-11-14 18:47:07
AC;BUJARI;JESUS RODRIGUES DA SILVA;Deputado Federal;7733;SOLIDARIEDADE;1;Não Eleito;7210;5;2022-11-14 18:47:07
AC;BUJARI;JESUS SERGIO DE MENEZES;Deputado Federal;1212;PDT;1;Não Eleito;7210;45;2022-11-14 18:47:07
AC;BUJARI;JHONATHAN MARTINS DA COSTA;Deputado Federal;3678;AGIR;1;Não Eleito;7210;2;2022-11-14 18:47:07
AC;BUJARI;JOANNA AYSHA DA COSTA ASSIS;Deputado Estadual;27888;DC;1;Não Eleito;7241;0;2022-11-14 18:47:07
AC;BUJARI;JOAQUIM FLORÊNCIO DA SILVA;Deputado Estadual;12133;PDT;1;Suplente;7241;188;2022-11-14 18:47:07
AC;BUJARI;JOCIRLENE BARBOSA DE SOUZA SANTOS;Deputado Estadual;55223;PSD;1;Suplente;7241;8;2022-11-14 18:47:07
AC;BUJARI;JONILSON CABRAL DOS SANTOS;Deputado Federal;9011;PROS;1;Não Eleito;7210;0;2022-11-14 18:47:07
