sg_uf;nm_municipio;nm_candidato;ds_cargo;nr_candidato;sg_partido;nr_turno;ds_sit_totalizacao;qt_votos_validos;qt_votos_nominais;dt_carga
AP;OIAPOQUE;ERRINELSON VIEIRA PIMENTEL;Deputado Estadual;22193;PL;1;Eleito;13635;55;2022-11-14 18:47:07
AP;OIAPOQUE;ESTER FARIAS DA SILVA;Deputado Federal;2030;PSC;1;Não Eleito;13864;4;2022-11-14 18:47:07
AP;OIAPOQUE;EUDASIO ALMEIDA DA SILVA;Deputado Estadual;40013;PSB;1;Não Eleito;13635;4;2022-11-14 18:47:07
AP;OIAPOQUE;EVANDRO COSTA MILHOMEN;Deputado Federal;1266;PDT;1;Suplente;13864;120;2022-11-14 18:47:07
AP;OIAPOQUE;EVERALDO MORAES FERREIRA;Deputado Estadual;19292;PODE;1;Suplente;13635;3;2022-11-14 18:47:07
AP;OIAPOQUE;EZIEL DE LIMA GOMES;Deputado Federal;5180;PATRIOTA;1;Não Eleito;13864;1;2022-11-14 18:47:07
AP;OIAPOQUE;FABIANO MENDONCA PANTOJA;Deputado Estadual;65000;PC do B;1;Suplente;13635;1;2022-11-14 18:47:07
AP;OIAPOQUE;FABIANO MENEZES LOBATO;Deputado Estadual;44024;UNIÃO;1;Suplente;13635;3;2022-11-14 18:47:07
AP;OIAPOQUE;FABIO WILSON MOREIRA JUCA;Deputado Estadual;40130;PSB;1;Não Eleito;13635;14;2022-11-14 18:47:07
AP;OIAPOQUE;FABRICIO BEVILACQUA FURLAN;Deputado Estadual;18000;REDE;1;Eleito;13635;173;2022-11-14 18:47:07
AP;OIAPOQUE;FATIMA LÚCIA PELAES;Deputado Federal;1010;REPUBLICANOS;1;Não Eleito;13864;149;2022-11-14 18:47:07
AP;OIAPOQUE;FLAVIA CRISTINA DE BARROS MAIA;Deputado Estadual;14777;PTB;1;Suplente;13635;3;2022-11-14 18:47:07
AP;OIAPOQUE;FLAVIA NASCIMENTO FARIAS;Deputado Estadual;28778;PRTB;1;Não Eleito;13635;0;2022-11-14 18:47:07
AP;OIAPOQUE;FLAVIA NATALIA DE LIMA;Deputado Federal;4555;PSDB;1;Não Eleito;13864;4;2022-11-14 18:47:07
AP;OIAPOQUE;FRANCILENE LOBO MARTINS NASCIMENTO;Deputado Estadual;23223;CIDADANIA;1;Suplente;13635;1;2022-11-14 18:47:07
AP;OIAPOQUE;FRANCINETE SILVA DE OLIVEIRA;Deputado Federal;1144;PP;1;Não Eleito;13864;4;2022-11-14 18:47:07
AP;OIAPOQUE;FRANCISCO CARLOS DOS SANTOS COSTA;Deputado Estadual;28288;PRTB;1;Não Eleito;13635;0;2022-11-14 18:47:07
AP;OIAPOQUE;FRANCISCO CRISTIANO LUCENA;Deputado Estadual;50777;PSOL;1;Suplente;13635;0;2022-11-14 18:47:07
AP;OIAPOQUE;FRANCISCO PAULO NOGUEIRA DE SOUZA;Deputado Estadual;13123;PT;1;Eleito;13635;14;2022-11-14 18:47:07
AP;OIAPOQUE;FRANCISCO PAULO RODRIGUES DE CARVALHO;Deputado Estadual;18050;REDE;1;Suplente;13635;0;2022-11-14 18:47:07
AP;OIAPOQUE;FRANCISCO ROZIVALDO RIBEIRO DE OLIVEIRA;Deputado Federal;2070;PSC;1;Não Eleito;13864;0;2022-11-14 18:47:07
AP;OIAPOQUE;FRANCO AURELIO BRITO DE SOUZA;Deputado Federal;1077;REPUBLICANOS;1;Não Eleito;13864;119;2022-11-14 18:47:07
AP;OIAPOQUE;FREDSON LUIS BEZERRA PEREIRA;Deputado Estadual;28222;PRTB;1;Não Eleito;13635;1;2022-11-14 18:47:07
AP;OIAPOQUE;GENIVALDO MARVULLI;Deputado Federal;5588;PSD;1;Não Eleito;13864;27;2022-11-14 18:47:07
AP;OIAPOQUE;GEODALTO PINHEIRO BORGES;Deputado Estadual;22000;PL;1;Suplente;13635;30;2022-11-14 18:47:07
AP;OIAPOQUE;GEOVANE FERNANDES LOBATO;Deputado Estadual;19777;PODE;1;Suplente;13635;0;2022-11-14 18:47:07
AP;OIAPOQUE;GEOVANE GRANGEIRO DA SILVA;Deputado Estadual;13113;PT;1;Suplente;13635;7;2022-11-14 18:47:07
AP;OIAPOQUE;GEOVANNI BANDEIRA ROCHA;Deputado Estadual;44200;UNIÃO;1;Suplente;13635;0;2022-11-14 18:47:07
AP;OIAPOQUE;GERALDO MAJELA ONIVES DE MATTOS;Deputado Estadual;28026;PRTB;1;Não Eleito;13635;8;2022-11-14 18:47:07
AP;OIAPOQUE;GESIEL DE SOUZA OLIVEIRA;Governador;28;PRTB;1;Não Eleito;12999;130;2022-11-14 18:47:07
AP;OIAPOQUE;GIANFRANCO GUSMÃO DE AZEVEDO;Governador;16;PSTU;1;Não Eleito;12999;38;2022-11-14 18:47:07
AP;OIAPOQUE;GIBSON ROCHA DE ARAÚJO;Deputado Estadual;20002;PSC;1;Não Eleito;13635;0;2022-11-14 18:47:07
AP;OIAPOQUE;GILBERTO LAURINDO;Senador;510;PATRIOTA;1;Não Eleito;12718;32;2022-11-14 18:47:07
AP;OIAPOQUE;GILSON PEREIRA LIMA;Deputado Federal;2090;PSC;1;Não Eleito;13864;6;2022-11-14 18:47:07
AP;OIAPOQUE;GILVAM PINHEIRO BORGES;Governador;15;MDB;1;Não Eleito;12999;101;2022-11-14 18:47:07
AP;OIAPOQUE;GIODILSON PINHEIRO BORGES;Deputado Federal;1115;PP;1;Não Eleito;13864;92;2022-11-14 18:47:07
AP;OIAPOQUE;GIOVANI DOS SANTOS COSTA;Deputado Estadual;70456;AVANTE;1;Não Eleito;13635;17;2022-11-14 18:47:07
AP;OIAPOQUE;GIRLENE RODRIGUES BARROSO;Deputado Federal;4510;PSDB;1;Não Eleito;13864;0;2022-11-14 18:47:07
AP;OIAPOQUE;GISELE DE NAZARÉ NASCIMENTO BRAZ;Deputado Estadual;12222;PDT;1;Suplente;13635;2;2022-11-14 18:47:07
AP;OIAPOQUE;GLÉCIA DE ALMEIDA GUARDIA;Deputado Estadual;22147;PL;1;Suplente;13635;3;2022-11-14 18:47:07
AP;OIAPOQUE;GUARACY BATISTA DA SILVEIRA JUNIOR;Senador;145;PTB;1;Não Eleito;12718;183;2022-11-14 18:47:07
AP;OIAPOQUE;HALDA MARIA DOS SANTOS BRANDAO;Deputado Estadual;40044;PSB;1;Não Eleito;13635;0;2022-11-14 18:47:07
AP;OIAPOQUE;HAROLDO ALBUQUERQUE TAVARES;Deputado Estadual;70666;AVANTE;1;Não Eleito;13635;0;2022-11-14 18:47:07
AP;OIAPOQUE;HAROLDO IRAM GOMES DA SILVA;Deputado Estadual;14191;PTB;1;Suplente;13635;5;2022-11-14 18:47:07
AP;OIAPOQUE;HAROLDO WILSON LEAL ABDON;Deputado Estadual;11111;PP;1;Suplente;13635;5;2022-11-14 18:47:07
AP;OIAPOQUE;HELANDRO OLIVEIRA ARANHA;Deputado Estadual;55510;PSD;1;Suplente;13635;5;2022-11-14 18:47:07
AP;OIAPOQUE;HELDER AFONSO MENDES GONCALVES;Deputado Estadual;40777;PSB;1;Não Eleito;13635;13;2022-11-14 18:47:07
AP;OIAPOQUE;HELENIANE DE LIMA DIAS;Deputado Estadual;11001;PP;1;Suplente;13635;0;2022-11-14 18:47:07
AP;OIAPOQUE;HELIO DE SOUZA CASTRO PINTO;Deputado Estadual;18456;REDE;1;Suplente;13635;27;2022-11-14 18:47:07
AP;OIAPOQUE;HELIO DOS PASSOS REIS;Deputado Estadual;14789;PTB;1;Suplente;13635;0;2022-11-14 18:47:07
AP;OIAPOQUE;HERBERT LUIS DE FRANCA JUNIOR;Deputado Federal;2855;PRTB;1;Não Eleito;13864;0;2022-11-14 18:47:07
AP;OIAPOQUE;HIDELBRANDO REIS DAMASCENO MEIRELES;Deputado Estadual;20300;PSC;1;Não Eleito;13635;0;2022-11-14 18:47:07
AP;OIAPOQUE;HILDEGARD DE AZEVEDO GURGEL;Deputado Estadual;44000;UNIÃO;1;Eleito;13635;120;2022-11-14 18:47:07
AP;OIAPOQUE;HILDO DOS SANTOS FONSECA;Deputado Estadual;12377;PDT;1;Suplente;13635;0;2022-11-14 18:47:07
AP;OIAPOQUE;INACIO MONTEIRO MACIEL;Deputado Estadual;12123;PDT;1;Eleito;13635;558;2022-11-14 18:47:07
AP;OIAPOQUE;INÊS DE NAZARÉ VALE RAMOS;Deputado Estadual;90777;PROS;1;Suplente;13635;0;2022-11-14 18:47:07
AP;OIAPOQUE;IRLAN DAMASCENO GUEDES;Deputado Estadual;70223;AVANTE;1;Não Eleito;13635;0;2022-11-14 18:47:07
AP;OIAPOQUE;ISAIAS DA SILVA CARVALHO;Deputado Federal;1813;REDE;1;Não Eleito;13864;0;2022-11-14 18:47:07
AP;OIAPOQUE;IVAN CESAR CARDOSO MARTINS;Deputado Federal;1433;PTB;1;Não Eleito;13864;1;2022-11-14 18:47:07
AP;OIAPOQUE;IVNA DEISE DA SILVA AMANAJÁS;Deputado Federal;1516;MDB;1;Suplente;13864;31;2022-11-14 18:47:07
AP;OIAPOQUE;IZANIEL DA SILVA COSTA;Deputado Estadual;28777;PRTB;1;Não Eleito;13635;9;2022-11-14 18:47:07
AP;OIAPOQUE;JACI PENA AMANAJÁS;Deputado Estadual;23100;CIDADANIA;1;Suplente;13635;114;2022-11-14 18:47:07
AP;OIAPOQUE;JACK HOUAT HARB;Deputado Estadual;77123;SOLIDARIEDADE;1;Eleito;13635;354;2022-11-14 18:47:07
AP;OIAPOQUE;JACKSON JONAS GUALBERTO FERREIRA;Deputado Estadual;19199;PODE;1;Suplente;13635;26;2022-11-14 18:47:07
AP;OIAPOQUE;JAIME DA SILVA PEREZ;Deputado Estadual;14999;PTB;1;Eleito;13635;64;2022-11-14 18:47:07
AP;OIAPOQUE;JAIME DOMINGUES NUNES;Governador;55;PSD;1;Não Eleito;12999;5266;2022-11-14 18:47:07
AP;OIAPOQUE;JAIR MESSIAS BOLSONARO;Presidente;22;PL;1;Segundo turno;14076;4353;2022-11-14 18:47:07
AP;OIAPOQUE;JAIRO PALHETA DA SILVA MARQUES;Governador;29;PCO;1;Não Eleito;12999;9;2022-11-14 18:47:07
AP;OIAPOQUE;JANE MARY CAVALCANTE VITERBINO;Deputado Estadual;55789;PSD;1;Suplente;13635;29;2022-11-14 18:47:07
AP;OIAPOQUE;JANE SELMA ALMEIDA DE SOUZA;Deputado Estadual;11000;PP;1;Suplente;13635;13;2022-11-14 18:47:07
AP;OIAPOQUE;JAQUELINE LIMA BASTOS;Deputado Estadual;22111;PL;1;Suplente;13635;1;2022-11-14 18:47:07
AP;OIAPOQUE;JAQUISON FURTADO DA SILVA;Deputado Estadual;55999;PSD;1;Suplente;13635;2;2022-11-14 18:47:07
AP;OIAPOQUE;JEOVANA DA CONCEIÇÃO PEREIRA;Deputado Federal;5522;PSD;1;Não Eleito;13864;2;2022-11-14 18:47:07
AP;OIAPOQUE;JESUE GONCALVES DA SILVA WETCH;Deputado Estadual;20007;PSC;1;Não Eleito;13635;10;2022-11-14 18:47:07
AP;OIAPOQUE;JIM DAVIS ROCHA DE ALMEIDA;Deputado Estadual;45000;PSDB;1;Suplente;13635;0;2022-11-14 18:47:07
AP;OIAPOQUE;JOABE COSTA DE FARIAS;Deputado Estadual;55055;PSD;1;Suplente;13635;3;2022-11-14 18:47:07
AP;OIAPOQUE;JOAO ALBERTO RODRIGUES CAPIBERIBE;Senador;401;PSB;1;Não Eleito;12718;900;2022-11-14 18:47:07
AP;OIAPOQUE;JOAO BACELAR DE SOUZA;Deputado Estadual;28628;PRTB;1;Não Eleito;13635;0;2022-11-14 18:47:07
AP;OIAPOQUE;JOAO MARCOS CORREA DE BARROS;Deputado Estadual;43223;PV;1;Suplente;13635;0;2022-11-14 18:47:07
AP;OIAPOQUE;JOCEMAR COELHO BERNARDO;Deputado Estadual;22456;PL;1;Suplente;13635;0;2022-11-14 18:47:07
AP;OIAPOQUE;JODOVAL FARIAS DA COSTA;Deputado Federal;4004;PSB;1;Não Eleito;13864;1;2022-11-14 18:47:07
AP;OIAPOQUE;JOELMA SOUSA CHAGAS MELO;Deputado Estadual;77888;SOLIDARIEDADE;1;Suplente;13635;87;2022-11-14 18:47:07
AP;OIAPOQUE;JOELSON PIMENTEL DOS SANTOS;Deputado Estadual;19123;PODE;1;Suplente;13635;97;2022-11-14 18:47:07
AP;OIAPOQUE;JONIZETT MALAFAIA MONTEIRO;Deputado Estadual;40333;PSB;1;Não Eleito;13635;31;2022-11-14 18:47:07
AP;OIAPOQUE;JORGE DO AMARAL E SOUSA;Deputado Estadual;77999;SOLIDARIEDADE;1;Suplente;13635;8;2022-11-14 18:47:07
AP;OIAPOQUE;JORGE ELSON SILVA DE SOUZA;Deputado Estadual;12122;PDT;1;Suplente;13635;102;2022-11-14 18:47:07
AP;OIAPOQUE;JORGE EMANOEL AMANAJAS CARDOSO;Deputado Estadual;44555;UNIÃO;1;Suplente;13635;151;2022-11-14 18:47:07
AP;OIAPOQUE;JORGE EVALDO EDINHO DUARTE PINHEIRO;Deputado Estadual;77777;SOLIDARIEDADE;1;Não Eleito;13635;2;2022-11-14 18:47:07
AP;OIAPOQUE;JORGE MACIEL DOS SANTOS;Deputado Estadual;55192;PSD;1;Suplente;13635;12;2022-11-14 18:47:07
AP;OIAPOQUE;JORGEANA BARROS BARATA;Deputado Estadual;28666;PRTB;1;Não Eleito;13635;0;2022-11-14 18:47:07
AP;OIAPOQUE;JORIELSON BRITO NASCIMENTO;Deputado Federal;2233;PL;1;Suplente;13864;62;2022-11-14 18:47:07
AP;OIAPOQUE;JORYOSVALDO QUEIROZ OEIRAS;Deputado Estadual;11300;PP;1;Eleito;13635;54;2022-11-14 18:47:07
AP;OIAPOQUE;JOSE ALTAIR FIGUEIREDO DE OLIVEIRA;Deputado Estadual;45123;PSDB;1;Suplente;13635;2;2022-11-14 18:47:07
